,comments,channel_id,video_id
17,"Very cool. But this not being available in the 800 mountain market is a huge miss. Polaris did a new engine and a turbo, Skidoo did a new chassis, and cat did nothing here again.",UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
18,"Oh. And it changes everything 
Clichés",UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
19,"Baloney 
They can’t build or deliver 
current models
PR B.S.",UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
20,😳 𝚙𝚛𝚘𝚖𝚘𝚜𝚖,UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
21,"Looks more like evolutionary, not ""revolutionary"". There's a difference",UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
22,Looks great to me,UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
23,Will the Yamacat use the same platform?,UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
24,"Awesome cat, let’s set the competition back 😎👏",UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
25,Nice upgrade......looks like a Polaris!,UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
26,Looks cool as hell. The best gets even better! Can't wait to ride one and see for myself. Durability is critical. NO CHINESE BEARINGS PLEASE!!!,UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
27,Looks very similar to  a ski doo,UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
28,"On the trail, the problem has never been the chassis, but the hardness of the rear suspension....here we only mention the chassis....The competitors are still one step ahead, too bad 😡",UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
29,"If it is made for everyone call it - Compromise - because if you think it will work for everyone to many compromises were made! I do not want an all inclusive woke LGBT,QRFT accepting design because there is do all design.",UCZNvqiGznGApSxsVHxw9hrA,gA9QC13dkO0
30,"Guys will hate, they are just mad the other brands only got new plastics with there chassis last time",UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
31,For the 2strokes only,UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
32,"Nice. Interesting design for sure, we'll have to see how it'll do out on the snow!",UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
33,I was really nervous for this..once i seen the first photos today i thought oh shit they didn't mess this one up at all and looks very aggressive,UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
34,Why the fuck aren’t the headlights symmetrical? Looks so dumb,UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
35,Why is Arctic cat always highlighting change when every company offers change. Bring it or don’t bring it at all. Too bad one day the head lights will come one and they might be in LED in 10 years.,UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
36,C'est tu encore un 800?,UCZNvqiGznGApSxsVHxw9hrA,-lTATAm8EvI
37,Marketing team at arctic cat!! Wow. No facts. Just a cad design 60s video touting a lower CG. Lol. You’ll stay at the back of the pack…..,UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
38,"And the new engine soon....AC doesn't rush out and build junk quickly like Polaris, then sell it, then issue 2 STOP orders. Pure junk. When AC brings it out, it will rock. Now, we have a belt drive finally, should be good. Big loss in weight right now..its a hit!!",UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
39,Looking good cat! Welcome back👍,UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
40,"Alles sehr schön. Aber zuerst zusammen die Nummern 10 und 1. Eine gedangsiemm.ONLINE Brünette und eine anderec Blondine. Es wäre unfair, wenn ich 4 wählen würde",UCZNvqiGznGApSxsVHxw9hrA,-lTATAm8EvI
41,No real facts but worth looking in to .,UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
42,Nice,UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
43,Первый ☝️,UCZNvqiGznGApSxsVHxw9hrA,-5l0RlFcnEg
44,wow so exciting. cat 4 life. always,UCZNvqiGznGApSxsVHxw9hrA,gA9QC13dkO0
45,Z cross would be a sweet name,UCZNvqiGznGApSxsVHxw9hrA,gA9QC13dkO0
46,"With this much hype it would be a shame if it didn't live up to the pre-reveal... the worse thing you can do to your consumers is over sell and under provide, that creates distaste and spelled the end. Who knows this could be a grasping at straws, last ditch attempt for AC. I hope not but an affordable electric sled could be a brand saver.",UCZNvqiGznGApSxsVHxw9hrA,gA9QC13dkO0
47,They have had the same sled for like 10 years it better look way different and better be something different than the same old 800 motor that is a turd compared to the rest it’s gonna take a lot for them to rebrand them self or call it revolutionary,UCZNvqiGznGApSxsVHxw9hrA,gA9QC13dkO0
48,"I looked over for past few days.. to study the outlines, and do renderings.. I even took snipnits of the video and zoom and change color, sharper, or hazier, or clearly or whatever, I drew them.  I can see clearly if you change the light and balance.  The front has that 5 headlights.  all LED.  They then also have this unattractive lines on the cowl right in front of the headlights.  It reminded me of SKIDOO!  This is very uncharacteristic of Arctic Cat.  And the short nose part of the cowl.  Kind of like a throwback to the 1960s snowmobiles such as the Panther platform, Skidog platform (1969 Skidoo), and I can see tall spindle connecting the ski.  Not that wide out between spindles and the cowl-belly pan.  The sides look almost straight down like the old Panther used to be in 1966 to 1970. I do not see any vents.  Electric snowmobile?  Possible.  The suspension.. on the other hand. Of course hard to see, so I did all adjustments, I can see the suspension design is similar to my design I have had for at least 20 to 25 years.  It is also almost the same as Polaris Axis rear suspension that Polaris no longer produce now.  But it is more like 1979 TrailCat platform suspension.  I see the rail.. mono like they call it Alpha platform slide rail?  Possible.  The tunnel appeared long but much shorter on each side which is why the suspension appeared to look like Polaris Axis'.  The flap.. it looked more plastic than rubber because of its look.  Flaps have come a long way.  It is a chevron bend down.. Remember Pontiac Atzek rear windshield?  That is the same bend down look.  And has trim for the flap.  Now that is real cool design.  The seat seem to be short, not long but I can see the lift bar on the back on there.  No tail lights on huh?  Have to have it on if the front is on!  Why was it off, Arctic Cat?   I know its for a show, Arctic Cat but technically supposed to have it on!  Its the law!  The tunnel seem to have something on the behind the seat. Was that a trunk?",UCZNvqiGznGApSxsVHxw9hrA,gA9QC13dkO0
49,I love their snowmobiles,UCZNvqiGznGApSxsVHxw9hrA,gA9QC13dkO0
